Epoch,test_acc1,test_acc2,test_acc3,test_acc4,test_acc5
191,0.6318,0.6317,0.6291,0.6399,0.6377
192,0.6332,0.6322,0.6309,0.6394,0.6406
193,0.632,0.6306,0.6286,0.64,0.6396
194,0.6316,0.6312,0.6291,0.6393,0.6374
195,0.6318,0.6309,0.6272,0.6372,0.6369
196,0.6319,0.6308,0.6288,0.639,0.6395
197,0.6314,0.6298,0.629,0.6398,0.6382
198,0.6311,0.6291,0.6278,0.6393,0.6367
199,0.6327,0.6293,0.6307,0.6382,0.6372
200,0.6302,0.6303,0.6289,0.6379,0.6359
