Epoch,base,base+,cutout,mixup,cutmix,,,,,,,
166,0.6323,0.775,0.7733,0.7829,0.785,,,,,,,
167,0.6314,0.7761,0.7754,0.7921,0.7852,,,,,,,
168,0.6324,0.7754,0.7744,0.7891,0.7844,,,,,,,
169,0.6323,0.7746,0.7758,0.7859,0.7832,,,,,,,
170,0.6343,0.774,0.7728,0.7904,0.786,,,,,,,
171,0.6313,0.7745,0.775,0.7891,0.7874,,,,,,,
172,0.632,0.7747,0.7748,0.7901,0.7873,,,,,,,
173,0.6336,0.7741,0.7735,0.7834,0.7845,,,,,,,
174,0.6313,0.7764,0.7767,0.7832,0.7868,,,,,,,
175,0.6318,0.7746,0.7747,0.7905,0.7849,,,,,,,
176,0.6319,0.7757,0.7737,0.7801,0.7867,,,,,,,
177,0.6314,0.7758,0.7736,0.7836,0.7827,,,,,,,
178,0.633,0.7753,0.7751,0.788,0.7854,,,,,,,
179,0.633,0.7735,0.7764,0.7955,0.7862,,,,,,,
180,0.6311,0.7762,0.7757,0.7894,0.7858,,,,,,,
181,0.6325,0.7748,0.773,0.7872,0.7863,,,,,,,
182,0.6319,0.7749,0.7771,0.7907,0.7883,,,,,,,
183,0.6328,0.7757,0.7754,0.7855,0.7877,,,,,,,
184,0.6318,0.7744,0.7717,0.7899,0.7832,,,,,,,
185,0.6335,0.7745,0.7749,0.795,0.7867,,,,,,,
186,0.6301,0.7737,0.7765,0.791,0.7875,,,,,,,
187,0.6318,0.7756,0.7765,0.7898,0.784,,,,,,,
188,0.6325,0.776,0.7737,0.7796,0.7864,,,,,,,
189,0.632,0.7756,0.7732,0.7829,0.7892,,,,,,,
190,0.6311,0.7774,0.7732,0.7886,0.7887,,,,,,,
191,0.6318,0.7753,0.7742,0.7858,0.7886,,,,,,,
192,0.6332,0.7766,0.7751,0.7914,0.7856,,,,,,,
193,0.632,0.7768,0.7739,0.7901,0.7868,,,,,,,
194,0.6316,0.7753,0.7754,0.7876,0.7867,,,,,,,
195,0.6318,0.7762,0.7745,0.7887,0.7889,,,,,,,
196,0.6319,0.7772,0.7766,0.7886,0.7883,,,,,,,
197,0.6314,0.776,0.7736,0.7882,0.7864,,,base,base+,cutout,mixup,cutmix
198,0.6311,0.7761,0.7757,0.7853,0.7893,,,63.177,77.627,77.490,78.909,78.806
199,0.6327,0.7761,0.7768,0.7959,0.7925,,,0.026,0.021,0.039,0.095,0.062
200,0.6302,0.7771,0.7732,0.7893,0.7875,,,2.262,2.262,2.262,2.262,2.262
,,,,,,,,0.059,0.047,0.088,0.215,0.141
