"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"172","0.7748","0.7809","0.7737","0.7734","0.7775"
"173","0.7735","0.7811","0.7728","0.7748","0.7771"
"174","0.7767","0.782","0.7745","0.7737","0.7774"
"175","0.7747","0.7808","0.7741","0.773","0.7764"
"176","0.7737","0.7806","0.7703","0.7765","0.7746"
"177","0.7736","0.7821","0.7722","0.7764","0.777"
"178","0.7751","0.7831","0.7732","0.7736","0.7773"
"179","0.7764","0.7806","0.7744","0.7726","0.7769"
"180","0.7757","0.7799","0.7742","0.7734","0.778"
"181","0.773","0.7815","0.7728","0.774","0.7761"
"182","0.7771","0.7813","0.7729","0.7738","0.7767"
"183","0.7754","0.7823","0.7734","0.7753","0.7759"
"184","0.7717","0.7825","0.7723","0.776","0.7758"
"185","0.7749","0.7831","0.7747","0.7741","0.7773"
"186","0.7765","0.7825","0.7746","0.7751","0.7766"
"187","0.7765","0.7822","0.7741","0.7751","0.7772"
"188","0.7737","0.7799","0.7736","0.7757","0.777"
"189","0.7732","0.7817","0.7721","0.7746","0.7768"
"190","0.7732","0.7814","0.7716","0.7752","0.7772"
"191","0.7742","0.7827","0.7725","0.7757","0.7783"
"192","0.7751","0.7797","0.7752","0.7778","0.7765"
"193","0.7739","0.7822","0.771","0.7775","0.7784"
"194","0.7754","0.7844","0.7751","0.7776","0.7777"
"195","0.7745","0.7824","0.7738","0.7772","0.7784"
"196","0.7766","0.7842","0.7735","0.7755","0.7789"
"197","0.7736","0.7837","0.772","0.777","0.7753"
"198","0.7757","0.7818","0.7739","0.7774","0.7771"
"199","0.7768","0.7824","0.7742","0.7771","0.7779"
"200","0.7732","0.7831","0.7728","0.7759","0.7765"
