"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"179","0.7977","0.7977","0.7977","0.7977","0.7977"
"180","0.7971","0.7971","0.7971","0.7971","0.7971"
"181","0.7955","0.7955","0.7955","0.7955","0.7955"
"182","0.8","0.8","0.8","0.8","0.8"
"183","0.7962","0.7962","0.7962","0.7962","0.7962"
"184","0.7971","0.7971","0.7971","0.7971","0.7971"
"185","0.7965","0.7965","0.7965","0.7965","0.7965"
"186","0.7978","0.7978","0.7978","0.7978","0.7978"
"187","0.7954","0.7954","0.7954","0.7954","0.7954"
"188","0.8002","0.8002","0.8002","0.8002","0.8002"
"189","0.7972","0.7972","0.7972","0.7972","0.7972"
"190","0.7922","0.7922","0.7922","0.7922","0.7922"
"191","0.7963","0.7963","0.7963","0.7963","0.7963"
"192","0.7946","0.7946","0.7946","0.7946","0.7946"
"193","0.7935","0.7935","0.7935","0.7935","0.7935"
"194","0.796","0.796","0.796","0.796","0.796"
"195","0.7939","0.7939","0.7939","0.7939","0.7939"
"196","0.7965","0.7965","0.7965","0.7965","0.7965"
"197","0.794","0.794","0.794","0.794","0.794"
"198","0.7985","0.7985","0.7985","0.7985","0.7985"
"199","0.7962","0.7962","0.7962","0.7962","0.7962"
"200","0.7977","0.7977","0.7977","0.7977","0.7977"
