""
epoch,train_acc,test_acc
138,0.99924,0.7722
139,0.99944,0.7725
140,0.9994,0.7714
141,0.99942,0.7731
142,0.99942,0.7728
143,0.99946,0.7732
144,0.99964,0.7722
145,0.9995,0.7745
146,0.99944,0.774
147,0.99958,0.774
148,0.99942,0.7717
149,0.99946,0.7745
150,0.99948,0.7737
151,0.99946,0.7739
152,0.99944,0.7736
153,0.99962,0.7761
154,0.99964,0.7753
155,0.9996,0.7766
156,0.99956,0.7767
157,0.99958,0.7744
158,0.99958,0.7739
159,0.99966,0.7768
160,0.99962,0.7749
161,0.99964,0.7759
162,0.9997,0.7773
163,0.99968,0.7781
164,0.99978,0.7768
165,0.99978,0.7744
166,0.99972,0.7778
167,0.99978,0.7761
168,0.99968,0.7784
169,0.9997,0.7761
170,0.99976,0.778
171,0.99968,0.7775
172,0.99978,0.7781
173,0.99976,0.7768
174,0.99968,0.777
175,0.99972,0.7775
176,0.99974,0.7781
177,0.9997,0.7771
178,0.9997,0.7777
179,0.9998,0.7784
180,0.99962,0.7768
181,0.9997,0.7774
182,0.99974,0.7785
183,0.99974,0.7788
184,0.9997,0.7788
185,0.99972,0.7787
186,0.99984,0.7781
187,0.99978,0.7777
188,0.99964,0.7775
189,0.99986,0.7768
190,0.99974,0.7782
191,0.99972,0.7785
192,0.99964,0.7781
193,0.99978,0.7779
194,0.9997,0.7793
195,0.99968,0.7794
196,0.9997,0.7797
197,0.9998,0.7799
198,0.9997,0.7792
199,0.9998,0.7801
200,0.99976,0.7806
""
epoch,train_acc,test_acc
1,0.08218,0.1275
2,0.1781,0.2152
3,0.26486,0.2723
4,0.3431,0.3583
5,0.4097,0.4046
6,0.45906,0.4386
7,0.49362,0.4349
8,0.52234,0.4694
9,0.54454,0.4691
10,0.5649,0.4733
11,0.58168,0.494
12,0.59188,0.5407
13,0.6054,0.5396
14,0.61308,0.5571
15,0.62504,0.5345
16,0.63178,0.5518
17,0.6403,0.5363
18,0.6432,0.5626
19,0.65084,0.5455
20,0.65576,0.5476
21,0.65972,0.5619
22,0.66482,0.5151
23,0.66736,0.532
24,0.67142,0.5797
25,0.67544,0.5745
26,0.67636,0.561
27,0.68054,0.5768
28,0.68282,0.5614
29,0.68318,0.58
30,0.6868,0.5605
31,0.68974,0.564
32,0.69248,0.5551
33,0.69422,0.56
34,0.69412,0.5769
35,0.69756,0.5937
36,0.69598,0.5654
37,0.69874,0.5826
38,0.69736,0.5753
39,0.7005,0.5936
40,0.70126,0.5671
41,0.70388,0.5806
42,0.70408,0.5901
43,0.70564,0.6079
44,0.70846,0.5655
45,0.70626,0.5559
46,0.70864,0.5641
47,0.70856,0.5551
48,0.7096,0.6006
49,0.71056,0.583
50,0.71218,0.5827
51,0.70996,0.5762
