""
epoch,train_acc,test_acc
38,0.87106,0.4766
39,0.87122,0.4826
40,0.8768,0.4881
41,0.8733,0.4886
42,0.87854,0.4854
43,0.87076,0.4859
44,0.87806,0.4748
45,0.87416,0.4728
46,0.87444,0.4806
47,0.8757,0.4855
48,0.87506,0.4644
49,0.87124,0.4816
50,0.8804,0.4616
51,0.87638,0.4679
52,0.877,0.4803
53,0.87338,0.4671
54,0.8802,0.4474
55,0.88382,0.4729
56,0.87786,0.4606
57,0.8762,0.4842
58,0.87774,0.4823
59,0.88242,0.4944
60,0.87412,0.4587
61,0.97436,0.608
62,0.9992,0.6129
63,0.99934,0.6159
64,0.99954,0.6185
65,0.99958,0.6196
66,0.99958,0.622
67,0.99964,0.622
68,0.99966,0.6185
69,0.99972,0.6223
70,0.99972,0.6226
71,0.99968,0.6225
72,0.99962,0.6235
73,0.9997,0.6228
74,0.99966,0.6211
75,0.99966,0.6209
76,0.99968,0.619
77,0.9996,0.6206
78,0.9997,0.6226
79,0.99962,0.6198
80,0.9997,0.621
81,0.9996,0.6194
82,0.99966,0.6231
83,0.99964,0.6227
84,0.99962,0.6247
85,0.9997,0.6235
86,0.99966,0.6222
87,0.9996,0.6216
88,0.99976,0.6243
89,0.99958,0.6224
90,0.9994,0.6103
91,0.99782,0.5642
92,0.93328,0.4559
93,0.8477,0.5062
94,0.96776,0.5579
95,0.99234,0.5845
96,0.99866,0.6121
97,0.99938,0.6184
98,0.99944,0.6255
99,0.99952,0.6235
100,0.99974,0.6256
101,0.99968,0.6268
102,0.99962,0.6287
103,0.99966,0.6281
104,0.99974,0.6259
105,0.99966,0.6273
106,0.99964,0.626
107,0.99972,0.6265
108,0.99956,0.6278
109,0.99968,0.6246
110,0.99964,0.6278
111,0.99964,0.6214
112,0.9996,0.6092
113,0.9996,0.6199
114,0.85414,0.4113
115,0.74974,0.4947
116,0.9289,0.5459
117,0.97478,0.5636
118,0.99246,0.5933
119,0.99812,0.609
120,0.99944,0.6214
121,0.9996,0.6258
122,0.99978,0.6236
123,0.99968,0.6246
124,0.99974,0.6253
125,0.99972,0.6259
126,0.99978,0.6247
127,0.9997,0.626
128,0.99968,0.6261
129,0.99978,0.6278
130,0.99984,0.6261
131,0.9998,0.6287
132,0.99972,0.6273
133,0.99982,0.6289
134,0.99974,0.6282
135,0.99978,0.6278
136,0.99972,0.6276
137,0.9998,0.6289
138,0.9997,0.6299
139,0.9998,0.629
140,0.99974,0.6275
141,0.99978,0.6293
142,0.99968,0.6301
143,0.99974,0.6303
144,0.99978,0.6279
145,0.99982,0.6289
146,0.9998,0.628
147,0.99972,0.6311
148,0.99974,0.6286
149,0.99972,0.6298
150,0.9997,0.6291
151,0.99978,0.6296
152,0.99974,0.6293
153,0.99972,0.627
154,0.9998,0.6286
155,0.9998,0.6272
156,0.99976,0.6296
157,0.99978,0.6314
158,0.99976,0.6281
159,0.99978,0.6303
160,0.9998,0.6302
161,0.99974,0.6282
162,0.99982,0.6282
163,0.99982,0.6312
164,0.99994,0.6309
165,0.99986,0.6298
166,0.99978,0.6296
167,0.99972,0.6303
168,0.9998,0.6298
169,0.99978,0.6288
170,0.99978,0.6273
171,0.99984,0.6292
172,0.9998,0.6303
173,0.9998,0.6309
174,0.99982,0.6316
175,0.99986,0.6305
176,0.99978,0.628
177,0.99988,0.6277
178,0.99976,0.629
179,0.9997,0.6303
180,0.99976,0.6293
181,0.99984,0.6299
182,0.99986,0.6293
183,0.99982,0.6289
184,0.99994,0.6292
185,0.99982,0.6281
186,0.9998,0.6304
187,0.99984,0.6293
188,0.99984,0.6269
189,0.99984,0.6291
190,0.9998,0.6288
191,0.99976,0.6291
192,0.99978,0.6309
193,0.99984,0.6286
194,0.99982,0.6291
195,0.99978,0.6272
196,0.99982,0.6288
197,0.99982,0.629
198,0.99986,0.6278
199,0.9998,0.6307
200,0.99978,0.6289
""
epoch,train_acc,test_acc
1,0.11544,0.1837
2,0.25178,0.2808
3,0.37658,0.3983
4,0.4689,0.422
5,0.54258,0.4619
6,0.60044,0.4744
7,0.64712,0.493
8,0.6862,0.5143
9,0.72408,0.4983
10,0.75348,0.4923
11,0.7785,0.4769
12,0.79884,0.4956
13,0.81428,0.4791
14,0.82494,0.4924
15,0.82826,0.4518
16,0.8429,0.4832
17,0.8518,0.4987
18,0.84616,0.4598
19,0.85494,0.4748
20,0.85798,0.4729
21,0.85378,0.4668
22,0.86138,0.4735
23,0.8629,0.4724
24,0.86486,0.4234
25,0.8628,0.4555
26,0.8695,0.467
27,0.86866,0.4921
28,0.86504,0.4981
29,0.87326,0.4806
30,0.86672,0.4687
31,0.87328,0.4215
32,0.8691,0.4908
33,0.87258,0.443
34,0.86922,0.4867
35,0.87336,0.4926
36,0.87604,0.4582
37,0.8719,0.4802
38,0.87222,0.4766
39,0.87674,0.4588
40,0.87692,0.4685
41,0.87168,0.4779
42,0.8813,0.4947
43,0.88222,0.4685
44,0.86944,0.4963
45,0.88384,0.4734
46,0.87724,0.46
47,0.87216,0.4419
48,0.877,0.4896
49,0.88006,0.5006
50,0.87876,0.4754
51,0.87786,0.4646
52,0.88118,0.4723
