""
epoch,train_acc,test_acc
168,0.9897,0.7719
169,0.98994,0.7724
170,0.98998,0.7746
171,0.99,0.7737
172,0.99038,0.773
173,0.99012,0.7731
174,0.99062,0.7723
175,0.99064,0.7739
176,0.99136,0.7727
177,0.99116,0.7742
178,0.99032,0.7732
179,0.99112,0.7759
180,0.99144,0.7715
181,0.99096,0.7704
182,0.99056,0.775
183,0.99186,0.7734
184,0.99128,0.7718
185,0.99214,0.7743
186,0.99134,0.7728
187,0.99246,0.7747
""
epoch,train_acc,test_acc
1,0.08948,0.1434
2,0.17732,0.202
3,0.2558,0.2886
4,0.32158,0.3581
5,0.37424,0.3888
6,0.41672,0.4184
7,0.44806,0.4345
8,0.46698,0.4525
9,0.48974,0.4812
10,0.50334,0.4505
11,0.51758,0.5146
12,0.52348,0.5281
13,0.53766,0.496
14,0.54478,0.5001
15,0.55088,0.5207
16,0.55496,0.554
17,0.56054,0.5232
18,0.56726,0.5467
19,0.56868,0.5371
20,0.57432,0.5544
21,0.57964,0.5424
22,0.5845,0.5165
23,0.58132,0.5324
24,0.5876,0.5602
25,0.586,0.541
26,0.59172,0.559
27,0.59202,0.5788
28,0.59374,0.5513
29,0.5977,0.5482
30,0.59754,0.5728
31,0.60036,0.5876
32,0.60284,0.5166
33,0.60102,0.606
34,0.60774,0.5537
35,0.60622,0.5625
36,0.60724,0.5677
37,0.61038,0.5544
38,0.60788,0.5834
39,0.61108,0.5531
40,0.6111,0.5618
41,0.60906,0.5333
42,0.6122,0.5685
43,0.60964,0.6077
44,0.61712,0.5348
45,0.6147,0.5695
46,0.61474,0.5959
47,0.61462,0.5659
48,0.61746,0.5467
49,0.61626,0.5458
50,0.61788,0.5423
51,0.61496,0.4538
52,0.61742,0.5882
53,0.61742,0.5702
54,0.61998,0.597
55,0.61706,0.5788
56,0.62256,0.5882
57,0.62106,0.5639
58,0.62362,0.5698
59,0.62224,0.5808
60,0.62224,0.5487
61,0.7392,0.7244
62,0.77444,0.7249
63,0.78884,0.7282
64,0.7964,0.728
65,0.80214,0.7293
66,0.80768,0.7361
67,0.8112,0.7189
68,0.81396,0.7253
69,0.8143,0.7276
70,0.81614,0.7281
71,0.81432,0.7238
72,0.81728,0.7085
73,0.81668,0.7083
74,0.8188,0.7152
75,0.8225,0.7096
76,0.81914,0.7225
77,0.82176,0.7202
78,0.82026,0.7034
79,0.82652,0.6995
80,0.81806,0.7019
81,0.82266,0.7091
82,0.82766,0.7052
83,0.82828,0.7
84,0.82674,0.6865
85,0.82908,0.6992
86,0.8289,0.6892
87,0.83914,0.7107
88,0.83088,0.7076
89,0.83092,0.6855
90,0.83776,0.7117
91,0.83884,0.7038
92,0.83582,0.7068
93,0.83762,0.6998
94,0.83918,0.7004
95,0.84172,0.6952
96,0.84296,0.7111
97,0.84184,0.7112
98,0.84388,0.6988
99,0.84456,0.6956
100,0.84426,0.7092
101,0.84462,0.6884
102,0.8483,0.7004
103,0.84548,0.6956
104,0.85038,0.702
105,0.85022,0.6987
106,0.85186,0.7014
107,0.85172,0.6931
108,0.85128,0.6785
109,0.85278,0.7011
110,0.85742,0.703
111,0.85196,0.7103
112,0.85524,0.6988
113,0.85896,0.6863
114,0.86092,0.7016
115,0.85882,0.711
116,0.85782,0.7088
117,0.8557,0.6985
118,0.85996,0.7042
119,0.8637,0.7109
120,0.85932,0.6983
121,0.92616,0.7644
122,0.947,0.7693
123,0.95484,0.7662
124,0.95896,0.7735
125,0.96236,0.7714
126,0.9651,0.7739
127,0.96538,0.7695
128,0.9674,0.7707
129,0.96944,0.7748
130,0.97076,0.7733
131,0.97126,0.7729
132,0.97188,0.7728
133,0.97188,0.7715
134,0.97294,0.7706
135,0.97468,0.7701
136,0.97594,0.7704
137,0.97638,0.7683
138,0.97602,0.7737
139,0.9762,0.7734
140,0.97672,0.7754
141,0.9768,0.7697
142,0.97698,0.7698
143,0.97748,0.7713
144,0.97804,0.7752
145,0.9778,0.7751
146,0.9794,0.7709
147,0.97938,0.7715
148,0.97948,0.7754
149,0.9799,0.7687
150,0.98034,0.7717
151,0.98034,0.7705
152,0.98074,0.7759
153,0.97954,0.7694
154,0.97902,0.77
155,0.98094,0.7706
156,0.97948,0.7746
157,0.98196,0.7738
158,0.97998,0.7671
159,0.97952,0.769
160,0.98072,0.7699
161,0.9843,0.7778
162,0.98754,0.7809
163,0.98814,0.7829
164,0.98908,0.7821
165,0.98884,0.7818
166,0.98848,0.7818
167,0.98902,0.7839
168,0.9901,0.7808
169,0.99014,0.781
170,0.9899,0.7802
171,0.98988,0.7809
172,0.99016,0.7809
173,0.9907,0.7811
174,0.99046,0.782
175,0.99056,0.7808
176,0.99044,0.7806
177,0.99066,0.7821
178,0.99086,0.7831
179,0.99078,0.7806
180,0.99018,0.7799
181,0.99152,0.7815
182,0.99062,0.7813
183,0.99084,0.7823
184,0.99112,0.7825
185,0.9914,0.7831
186,0.99128,0.7825
187,0.99132,0.7822
188,0.99076,0.7799
189,0.99126,0.7817
190,0.99238,0.7814
191,0.99232,0.7827
192,0.99206,0.7797
193,0.9917,0.7822
194,0.99212,0.7844
195,0.9919,0.7824
196,0.99168,0.7842
197,0.99246,0.7837
198,0.99208,0.7818
199,0.99216,0.7824
200,0.99234,0.7831
""
epoch,train_acc,test_acc
1,0.07238,0.1197
2,0.14728,0.1933
3,0.21482,0.2528
4,0.27036,0.3181
5,0.32098,0.3407
6,0.36834,0.3491
7,0.4052,0.395
8,0.42838,0.4079
9,0.45248,0.4391
10,0.47236,0.4305
11,0.4921,0.454
12,0.504,0.5006
13,0.51536,0.5226
14,0.52056,0.5324
15,0.53344,0.5142
16,0.53974,0.4881
17,0.54616,0.5229
18,0.55186,0.5171
19,0.55646,0.4718
20,0.56142,0.5432
21,0.56634,0.5327
22,0.56768,0.4896
23,0.57084,0.5477
24,0.57656,0.5264
25,0.5796,0.5387
26,0.58232,0.5608
27,0.58154,0.5426
28,0.58204,0.5657
29,0.5873,0.5461
30,0.58796,0.5781
31,0.59032,0.5643
32,0.59366,0.5893
33,0.59198,0.5491
34,0.59644,0.5439
35,0.59816,0.5442
36,0.59828,0.5949
37,0.602,0.5909
38,0.60096,0.5673
39,0.603,0.5726
40,0.60346,0.5342
41,0.60622,0.5815
42,0.60476,0.5697
43,0.6062,0.5724
44,0.60628,0.5161
45,0.61066,0.5724
46,0.6122,0.5621
47,0.61272,0.5745
48,0.61442,0.5565
49,0.60928,0.5465
50,0.6111,0.5779
51,0.60982,0.4966
52,0.61294,0.5887
53,0.61074,0.5144
54,0.61466,0.5723
55,0.61618,0.5843
56,0.61486,0.5772
57,0.61772,0.5768
58,0.61356,0.597
59,0.61492,0.5365
60,0.61746,0.5378
61,0.73198,0.7241
62,0.77078,0.7318
63,0.78398,0.7351
64,0.79502,0.7305
65,0.7993,0.7249
66,0.80358,0.7304
67,0.80952,0.7337
68,0.8104,0.7285
69,0.81418,0.7181
70,0.81244,0.7244
71,0.8144,0.7154
72,0.81742,0.7029
73,0.81718,0.7082
74,0.8176,0.696
75,0.81758,0.7261
76,0.81932,0.6835
77,0.8214,0.7149
78,0.81752,0.7112
79,0.82206,0.6955
80,0.82056,0.7076
81,0.82128,0.7077
82,0.82886,0.6995
83,0.82898,0.7096
84,0.82888,0.6972
85,0.82856,0.6984
86,0.83048,0.7059
87,0.8298,0.7062
88,0.8321,0.7064
89,0.83384,0.6938
90,0.83302,0.6937
91,0.8362,0.6902
92,0.838,0.7085
93,0.83888,0.6991
94,0.83956,0.7011
95,0.83826,0.6973
96,0.84518,0.7027
97,0.84364,0.6972
98,0.84334,0.7036
99,0.84596,0.694
100,0.84694,0.6952
101,0.84824,0.6986
102,0.84778,0.6836
103,0.84806,0.6887
104,0.85092,0.7048
105,0.85228,0.6961
106,0.85158,0.7013
107,0.84906,0.7025
108,0.854,0.7017
109,0.84912,0.6903
110,0.85026,0.7021
111,0.8549,0.6982
112,0.85308,0.6968
113,0.8548,0.6847
114,0.85898,0.6893
115,0.85756,0.7091
116,0.8577,0.6884
117,0.85464,0.6957
118,0.85986,0.6874
119,0.85738,0.6964
120,0.85564,0.698
121,0.92482,0.7567
122,0.94742,0.7609
123,0.95428,0.7643
124,0.96028,0.7628
125,0.96234,0.7672
126,0.96538,0.7671
127,0.9668,0.7666
128,0.96622,0.7666
129,0.96984,0.7664
130,0.97004,0.7695
131,0.97088,0.7656
132,0.97246,0.766
133,0.97228,0.7653
134,0.97366,0.7669
135,0.9741,0.7705
136,0.97376,0.7668
137,0.97422,0.7693
138,0.97628,0.7693
139,0.97698,0.7645
140,0.97656,0.7647
141,0.97722,0.7681
142,0.9786,0.7652
143,0.97874,0.7576
144,0.97878,0.7646
145,0.97812,0.7631
146,0.97924,0.7685
147,0.97896,0.7651
148,0.97922,0.7669
149,0.9799,0.7687
150,0.9797,0.766
151,0.98118,0.7627
152,0.97978,0.7661
153,0.9809,0.765
154,0.9805,0.76
155,0.98068,0.7665
156,0.98034,0.7643
157,0.98094,0.7623
158,0.98164,0.7651
159,0.98152,0.7599
160,0.98112,0.7594
161,0.98462,0.7711
162,0.9878,0.7709
163,0.98844,0.7704
164,0.98856,0.7705
165,0.98822,0.7695
166,0.98898,0.7714
167,0.98922,0.7702
168,0.98958,0.7711
169,0.98886,0.7717
170,0.99032,0.7706
171,0.9898,0.773
172,0.99126,0.7737
173,0.99056,0.7728
174,0.99018,0.7745
175,0.99052,0.7741
176,0.99092,0.7703
177,0.99076,0.7722
178,0.99046,0.7732
179,0.9913,0.7744
180,0.99116,0.7742
181,0.9912,0.7728
182,0.9914,0.7729
183,0.99202,0.7734
184,0.9918,0.7723
185,0.99168,0.7747
186,0.99204,0.7746
187,0.99122,0.7741
188,0.99154,0.7736
189,0.99148,0.7721
190,0.99226,0.7716
191,0.9919,0.7725
192,0.9915,0.7752
193,0.9918,0.771
194,0.99192,0.7751
195,0.99176,0.7738
196,0.99216,0.7735
197,0.99194,0.772
198,0.99258,0.7739
199,0.99254,0.7742
200,0.99184,0.7728
""
epoch,train_acc,test_acc
1,0.0846,0.1266
2,0.16812,0.2083
3,0.24182,0.2789
4,0.3026,0.3088
5,0.3594,0.3853
6,0.396,0.4321
7,0.4328,0.4151
8,0.45794,0.4493
9,0.48112,0.4526
10,0.49644,0.4871
11,0.50976,0.4639
12,0.52274,0.5239
13,0.53028,0.4811
14,0.53796,0.5385
15,0.54852,0.5523
16,0.55486,0.5174
17,0.55736,0.5279
18,0.56184,0.5122
19,0.56752,0.5455
20,0.57096,0.5478
21,0.57522,0.5606
22,0.57656,0.5763
23,0.58068,0.5375
24,0.58412,0.5479
25,0.58468,0.5377
26,0.58858,0.5364
27,0.5886,0.5459
28,0.5939,0.5564
29,0.59594,0.4886
30,0.59598,0.54
31,0.5989,0.5759
32,0.59848,0.5583
33,0.59812,0.5695
34,0.60374,0.5562
35,0.60244,0.5698
36,0.60476,0.5886
37,0.60336,0.5496
38,0.6071,0.5705
39,0.60532,0.5631
40,0.60864,0.5747
41,0.60646,0.5646
42,0.60936,0.5714
43,0.61044,0.5176
44,0.61254,0.5913
45,0.60952,0.5841
46,0.6155,0.5611
47,0.61078,0.5653
48,0.61536,0.5741
49,0.6144,0.5792
50,0.61686,0.5748
51,0.6142,0.5566
52,0.61592,0.5695
53,0.61774,0.5697
54,0.61944,0.5472
55,0.61796,0.5687
56,0.61804,0.5356
57,0.61958,0.5664
58,0.61626,0.5353
59,0.61956,0.5676
60,0.62114,0.5739
61,0.73554,0.7322
62,0.7727,0.7351
63,0.78578,0.7344
64,0.79548,0.7304
65,0.80036,0.7348
66,0.8085,0.7258
67,0.81218,0.7189
68,0.81072,0.7156
69,0.8169,0.7315
70,0.81674,0.7212
71,0.8187,0.7243
72,0.81958,0.7225
73,0.81804,0.7124
74,0.8177,0.71
75,0.81706,0.7126
76,0.81834,0.7068
77,0.81986,0.7206
78,0.82122,0.7013
79,0.82236,0.7122
80,0.82244,0.7048
81,0.82328,0.7019
82,0.82506,0.7058
83,0.82548,0.6943
84,0.82764,0.6974
85,0.8277,0.7038
86,0.83216,0.6882
87,0.83364,0.7004
88,0.83436,0.7008
89,0.8302,0.6959
90,0.83436,0.708
91,0.83694,0.6998
92,0.83896,0.7039
93,0.8404,0.7007
94,0.84088,0.7102
95,0.84324,0.6986
96,0.84214,0.6937
97,0.84392,0.7016
98,0.84266,0.71
99,0.8462,0.7043
100,0.84758,0.6954
101,0.84642,0.6978
102,0.84834,0.6926
103,0.84882,0.6926
104,0.84542,0.6937
105,0.85196,0.7001
106,0.8578,0.6975
107,0.84972,0.7031
108,0.85442,0.6847
109,0.85368,0.6991
110,0.85262,0.6903
111,0.85298,0.6991
112,0.85436,0.7017
113,0.85322,0.693
114,0.85662,0.6739
115,0.85508,0.6987
116,0.85466,0.6947
117,0.85886,0.6995
118,0.85766,0.7003
